COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,SCHOOL_NAME,SUBJECT,TESTED,Mean,Level1,Level2,Level3,Level4,Level5,MET_EXCEED
3,1130,80,BERGEN    ,DUMONT,CHARLES A. SELZER        ,ELA,357,758.2,4.5,8.7,23.5,49.8,13.2,63.2
3,1130,80,BERGEN    ,DUMONT,CHARLES A. SELZER        ,Math,337,748,2.8,13.8,32.7,48.5,2,50.7
3,1230,40,BERGEN    ,EAST RUTHERFORD BORO,ALFRED S. FAUST          ,ELA,265,759,5.5,8.5,25.8,42.5,18.2,60.5
3,1230,40,BERGEN    ,EAST RUTHERFORD BORO,ALFRED S. FAUST          ,Math,249,741.5,5,23.2,34.2,32.8,5.5,38.2
3,1345,60,BERGEN    ,ELMWOOD PARK,MIDDLE SCHOOL            ,ELA,481,744.7,8.7,17,28,39.3,7.3,46.3
3,1345,60,BERGEN    ,ELMWOOD PARK,MIDDLE SCHOOL            ,Math,438,733,12.3,26.3,28.3,31.3,1.7,33
3,1360,50,BERGEN    ,EMERSON,EMERSON JR SR HIGH       ,ELA,409,758.6,5,13.6,22.2,38.2,21,59.2
3,1360,50,BERGEN    ,EMERSON,EMERSON JR SR HIGH       ,Math,127,734,9,26,36.5,22.5,6,29
3,1370,76,BERGEN    ,ENGLEWOOD CITY,J.E. DISMUS MIDDLE       ,ELA,171,740,14,19,25,37,5,42
3,1370,76,BERGEN    ,ENGLEWOOD CITY,J.E. DISMUS MIDDLE       ,Math,170,716,32,29,22,16,1,17
3,1380,60,BERGEN    ,ENGLEWOOD CLIFFS BORO,UPPER SCHOOL             ,ELA,289,776.5,2,6,14,43.7,34,77.7
3,1380,60,BERGEN    ,ENGLEWOOD CLIFFS BORO,UPPER SCHOOL             ,Math,258,765.4,1.4,9.6,17.4,46.4,25,71.4
3,1450,60,BERGEN    ,FAIR LAWN,THOMAS JEFFERSON MIDDLE  ,ELA,584,768.3,2,6,15.7,53,22.7,75.7
3,1450,60,BERGEN    ,FAIR LAWN,THOMAS JEFFERSON MIDDLE  ,Math,456,747.3,6,15.7,29,42.3,7.7,49.7
3,1450,70,BERGEN    ,FAIR LAWN,MEMORIAL MIDDLE SCHOOL   ,ELA,429,764.7,3.3,11.7,15.3,47,23.3,70
3,1450,70,BERGEN    ,FAIR LAWN,MEMORIAL MIDDLE SCHOOL   ,Math,365,743,4.3,21.3,32.7,38.7,3,41.7
3,1470,60,BERGEN    ,FAIRVIEW BORO,LINCOLN                  ,ELA,544,737.2,10.4,21.2,34.2,32,2.2,34.4
3,1470,60,BERGEN    ,FAIRVIEW BORO,LINCOLN                  ,Math,422,727.8,13.5,27.8,40,18.2,0.5,18.5
3,1550,100,BERGEN    ,FORT LEE,LEWIS F. COLE MIDDLE     ,ELA,447,772.5,3,8,15.5,39.5,34.5,74
3,1550,100,BERGEN    ,FORT LEE,LEWIS F. COLE MIDDLE     ,Math,346,747.5,7.5,14,27,44.5,7.5,52
3,1580,15,BERGEN    ,FRANKLIN LAKES BORO,FRANKLIN AVE MIDDLE SCH  ,ELA,293,775,2,8.3,12,39,38,76.7
3,1580,15,BERGEN    ,FRANKLIN LAKES BORO,FRANKLIN AVE MIDDLE SCH  ,Math,227,749.7,5,12,32.7,43,7.3,50.7
3,1700,70,BERGEN    ,GARFIELD,GARFIELD MIDDLE SCH,ELA,846,742.3,8.7,18.7,29.7,37.7,5.3,43
3,1700,70,BERGEN    ,GARFIELD,GARFIELD MIDDLE SCH,Math,811,737.7,9,22,38,28,3,31
3,1760,60,BERGEN    ,GLEN ROCK,GLEN ROCK MIDDLE SCH     ,ELA,495,774.7,1,5,15.7,47.3,31.7,79
3,1760,60,BERGEN    ,GLEN ROCK,GLEN ROCK MIDDLE SCH     ,Math,336,762.5,0,4.5,22,60.5,14,73.5
3,1860,300,BERGEN    ,HACKENSACK,MIDDLE SCHOOL            ,ELA,1133,733,17.2,21,29.2,28.5,4.5,32.8
3,1860,300,BERGEN    ,HACKENSACK,MIDDLE SCHOOL            ,Math,1076,722.8,19.2,30.8,32.5,16.8,0.8,17.2
3,2050,50,BERGEN    ,HARRINGTON PARK BORO,HARRINGTON PARK          ,ELA,389,762.5,2,7.5,23.5,51.3,15.7,66.8
